Question,A,B,C,D,Answer
What does hyper parameter tuning do?,Optimizes parameters to improve performance of a learning algorithm,Expands the parameter set of a model to improve performance,Specifies the hyper plane that represents linear classifiers,Takes parameter tuning so far that performance degrades,1
The main function of  discriminant function plot is,Group  the centroids,Separate the centroids,Fix the centroids,Eliminate the centroid,1
Bayesian classifiers is,A class of learning algorithm that tries to find an optimum classification of a set of examples using the probabilistic theory,Any mechanism employed by a learning system to constrain the search space of a hypothesis,An approach to the design of learning algorithms that is inspired by the fact that when people encounter new situations,Additional acquaintance used by a learning algorithm to facilitate the learning process,1
What kind of table compares classifications predicted by the model with the actual class labels?,Chaos table,Prediction plot,Confusion matrix,Residual plot,1
"Which of the following will be Euclidean Distance between the two data point A(1,3) and B(2,3)?",1,2,3,4,1
When you find noise in data which of the following option would you consider in k-NN?,Will increase the value of k,Will decrease the value of k,Noise can not be dependent on value of k,Decrease the k the variance will increases,1
What would be the time taken by 1-NN if there are N Very large observations in test data?,N*D, N*D*2,(N*D)/2,N/D,1
"If every undirected path from node in X to  a node in Y is d-separated by E,then X and Y are",Dependent,Conditionally dependent,Conditionally Independent,Independent,3
The generalized form of Bayesian network that represents and solve decision problems under uncertain knowledge is known as an,Directed Acyclic Graph,Table of conditional probabilities,Influence diagram,Bayesian model,3
"If e(m) denotes error for correction of weight then what is formula for error in perceptron learning model: w(m + 1) = w(m) + n(b(m) – s(m)) a(m), where b(m) is desired output, s(m) is actual output, a(m) is input vector and ‘w’ denotes weight",e(m) = n(b(m) – s(m)) a(m),e(m) = n(b(m) – s(m)),e(m) = (b(m) – s(m)),e(m) = (b(n) – s(m)),3
" If the weight matrix stores association between adjacent pairs of patterns, then network becomes?", Auto associative memory,Astero associative memory,Multidirectional associative memory,Temporal associative memory,1
Which is meant by assuming any two neighbouring that are both edge pixels with consistent orientation?,Segmentation,Smoothing ,Canny edge Detection,Boundary Detection,3
Which of the following are cascaded in this method?,"Hd(z), H(z)","1/Hd(z), 1/H(z)"," 1/Hd(z), H(z)","Hd(z), 1/H(z)",4
"If δ(n) is the input, then what is the ideal output of yd(n)?",δ(n),0,u(n),1,1
In which type of networks training is completely avoided?,"GRNN
",PNN,GRNN and PNN,KNN,3
What is meant by generalized in statement “backpropagation is a generalized delta rule” ?,Because delta rule can be extended to hidden layer units,"Because delta is applied to only input and output layers, thus making it more simple and generalized",It has no significance,Slow convergence,1
Which of the following is statistical boosting based on additive logistic regression?,gamBoost,gbm,Ada,mboost,1
"Consider an alternative way of learning a Random Forest where instead of randomly sampling the attributes at each node, we sample a subset of attributes for each tree and build the tree on these features. Would you prefer this method over the original or not, and why?"," Yes, because it reduces the correlation between the resultant trees","Yes, because it reduces the time taken to build the trees due to the decrease in the
attributes considered","No, because many of the trees will be bad classifiers due to the absence of critical features
considered in the construction of some of the trees", Bagging increases the variance of the classifier,3
Which automation error is more likely to occur in an alarm system if the alert threshold or response criterion (beta) is set low?,Random variability may generate a false alarm.,"Random variability may cause a miss, or undetected signal.",Random variability may provide multiple alerts from different sources.,Non-random variability will produce more correct rejections.,1
Consider the following AR(2) process: yt = 1.5 yt-1 - 0.5 yt-2 + ut This is a,Stationary process,Unit root process,Explosive process,Stationary and unit root process,2
Which of the following techniques would perform better for reducing dimensions of a data set?,Removing columns which have too many missing values,Removing columns which have high variance in data,Removing columns with dissimilar data trends,Removing columns with similar data trends,1
"Suppose we are using dimensionality reduction as pre-processing technique, i.e., instead of using all the features, we reduce the data to k dimensions with PCA. And then use these PCA projections as our features. Which of the following statement is correct?",Higher 'k' means more regularization,Higher 'k' means less regularization,Less 'k' means less regularization,Less 'k' means High regularization,2
In which of the following scenarios is t-SNE better to use than PCA for dimensionality reduction while working on a local machine with minimal computational power?,Dataset with 1 Million entries and 300 features,Dataset with 100000 entries and 310 features,"Dataset with 10,000 entries and 8 features","Dataset with 10,000 entries and 200 features",3
