Question,A,B,C,D,Answer
Which type of engineering helps designers to predict the life of a material or structure by showing the effects of cyclic loading on the specimen?,Structural analysis,Vibrational analysis,Fatigue analysis,Heat Transfer analysis,3
"What is a top down, deductive failure analysis in which an undesired state of a system is analyzed using Boolean logic to combine a series of lower-level events?",Fault graph analysis,Fault tree analysis,Fault boolean analysis,Fault system analysis,2
Which symbol in analytical tree represents a special situation that can only happen if certain circumstances occur?,Rectangle,Circle,Diamond,Oval,4
Which among the following is the Durability aspect(s) of a product?,"Efficiency of the product

",Easy to understand,Ease with which a product can be maintained,Easy to gather and model requirements,3
Which among the following eases the process of stock control ?,Standardization,Simplification,Standardization and Simplification,Negotiation and Elaboration,3
Which among the following is the ultimate objective of variety reduction?,Simplification,Standardization,Specialization,Elaboration,3
In which of the following type the manufacturing cost may go up?,Standardization,Simplification,Negotiation,Diversification,4
which among the following helps in establishing the interchangeability of products ?,Standardization,Simplification,Diversification,Specialization,1
The “simplicity to operate and easy to understand” of product is concerned with which among the following aspect ?,Functional aspect,Operational aspect,Durability aspect,Aesthetic aspect,1
Which among the following aspect of product is concerned with the ease and efficiency of the product performance ?,Functional aspect,Operational aspect,Durability aspect,Aesthetic aspect,1
Which among the following is the ultimate objective of the product?,To provide a new look,Utilizing existing manpower,To monopolize the market,To gather requirements,3
Which among the following is the preliminary stage of Production planning,Capacity planning,Material requirements planning,Scheduling,"Product development and design

",4
which of the following cannot be described by the PLC concept?,Product image,brand,styles,Product form,1
What are the two ways that a company can obtain new products?,line extension and brand management,new-product development and acquisition,service development and product extension, internal development and merger,2
"The second part of the marketing strategy statement outlines the product's planned price, distribution, and ---------- for the first year.",advertising,marketing budget,promotion,target market,2
The search for new-product ideas should be ________ rather than haphazard.,systematic,intermittent,segmented,strategically planned,1
The creation of a successful new product depends on a company's understanding of its ________ and its ability to deliver ________ to customers.,"product, marketing mix, and marketing strategy; functional features","competitors, distributors, and employees; new styles","customers, brands, products; product images","customers, competitors, and markets; superior value",4
What is the advantage of standardizing an international product?,The adaptation of products to different markets,Higher Marketing costs,Increased manufacturing costs,Higher Product design costs,1
Assume one company department works to complete its stage of the process before passing the new product along to the next department and stage. For this scenario which among the following new-product development approach is used?,Simultaneous product development,Sequential product development,Product life-cycle analysis,Team-based product development,2
Consider you are working in a Company where you are stating detailed version of new idea in meaningful customer terms. Which among the following well describes this way of proposing new ideas?,Product Concept,Product Proposal,Product idea,Product image,1
Consider the following scenario: A Manufacturer of a product is currently in the decline stage of the product life cycle. But the manufacturer has some reasons which gives the hope that the competitors will leave the industry. Now in this situation which among the following decision can be made?,Search for replacements,drop the product,delay planning,Maintain the product without change,4
"Consider a firm has completed the concept testing. After concept testing, a firm would engage in which stage in developing and marketing a new product?",Business Analysis,Marketing strategy development,Test Marketing,Idea Screening,2
"If a kitchen cabinet designer wished to test design concepts with customers, the designer might wish to use a ______ program that would show the consumer how his or her kitchen would look and work if remodeled with the company's products.",Color Chart,Cartoon Figure Chart,Virtual Reality,Descriptive Schematic,3
"Consider a management is working to develop a new product. In this regard the management is assessing the range of risks in launching a new product. To assess this risk, the management estimatea the minimum and maximum sales. In this scenario, During which stage of new-product development is the management most likely to estimate minimum and maximum sales ?",Business Analysis,Marketing strategy development,Test Marketing,Concept Testing,1
"Consider the stakeholders listed: Executives, Manufacturing Employees and salespeople. These listed stakeholders can be given as an example for which among the following?",core members of innovation management systems,internal sources for new-product ideas,external sources for new-product ideas,new-product committee members,2
GrayBerry Gifts has just brainstormed a large number of ideas for adding new products and services after visiting several buying fairs. The owners will begin the first idea-reducing stage to arrive at a realistic number to adopt. This idea reducing stage can be coined with which among the following?,Concept Development, idea dissemination,idea screening,Product Concept,3
"In which among the following stage of new-product development, products often undergo rigorous tests to make sure that they perform safely and effectively or that consumers will find value in them ?",Product Development,Concept Development and testing,Idea Generation,Marketing Mix,1
Consider the firm faces a trade-off between high market share and high current profit. During which stage does the firm faces this tradeoff?,Commercialization,Decline,Growth,Maturity,3
"In the concept testing stage of new-product development, a product concept in ______ form is presented to groups of target consumers ?",prototype,physical or symbolic,commercial,market tested,2
In which stage of the PLC will promotional expenditures be high in an attempt to react to increasing competition?,Decline,Growth,Maturity,Introduction,2
"Schmidt Steel Corporation lacks the confidence, capital, and capacity to launch its new steel product into full national or international distribution. Even though test market results look promising, what will be management's next step?",retest the product in additional markets,seek the help of a nationally known consultant,develop a planned market rollout over time,"secure a loan to provide confidence, capital, and capacity",3
The major purpose of test marketing is to provide management with the information needed to make a final decision about which among the following?,which market to compete in,how to compete in the market,how long to compete in the market,whether to launch the new product,4
The PLC concept can be applied by marketers as a useful framework for describing which among the following?,how to develop marketing strategies,how  to forecast product performance,how products and markets work,how  product ideas are developed,3
Assume the firm you are working in considers the team-based new-product development approach is faster because departments work together. How the departments may work closely together?,"through cross-functional teams
",through team efforts,through a step-by-step process,through departmentalization,1
Under what circumstances might it be wise for a company to do little or no test marketing?,When the product has no substitutes and is new in its category.,When management is not sure of the product.,When the costs of developing and introducing the product are low.,When management is not sure of the marketing program.,3
Which of the following costs is most likely associated with the commercialization stage of new-product development?,"determining the product's planned price, distribution, and marketing budget",building or renting a manufacturing facility,developing a prototype of the product,paying groups of target consumers for product feedback,2
Consider a firm faced failure in the new product. Which of the following is not a potential cause of the failure of a new product?,an underestimated market size,an incorrectly positioned product,a poorly designed product,ineffective advertising,1
Consider in your firm you adopted team-based approach. Which of the following you consider as a disadvantage of a team-based approach to new-product development?,The process does not work with the shorter life cycles of many of today's products,Organizational confusion and tension can be a part of the process,The development effort is not as effective because of team members' lack of expertise, It takes longer to get the right products to market,2
Which of the following is necessary for successful new-product development?,an innovation management system and sequential product development,a holistic and sequential product development approach,"a team-based, innovation-management approach","a customer-centered, team-based, systematic approach",4
Your firm wants to use external sources for new product ideas. Which of the following is perhaps the most important external source of new-product ideas?.,"trade magazines, shows and seminars",Competitors,Customers,Engineers,3
Which stage in the PLC normally lasts longer and poses strong challenges to the marketing managers?,phase-in,maturity,decline,introduction,2
Your firm wants to use external sources for new product ideas. After consulting with a friend you learn that all of the following are common external sources except ________.,the firm's executives,trade shows and magazines,Customers,Competitors,1
"Sanyo intends to capture a 5-percent share of the small radio market in three years. To achieve this, product quality will start high and be improved over time. Price will begin low but then be raised (competition permitting). An advertising budget of $300,000 will be rolled out over a three-year period. To successfully accomplish its long-run goals, Sanyo should consrtuct and then adhere to which among the following?",product development theory,Marketing strategy statement,demand curve theorem,image statement,2
"If a company wishes to tets its positioning strategy, advertising, distribution, pricing, branding and packaging, and budget levels, it can do so during which of the following stages of a new product development process?",Commercialization,test marketing,product development,marketing strategy development,2
"James manufacturing would like to do test marketing on a new bicycle that it has just developed. However, cost is a serious consideration. James Manufacturing has just been approached by a firm called Simul-Shop that has offered to study the bicycle market using a unique approach that will only cost about $25,000. which of the following innovative test marketing methods is James Manufacturing probably considering?",Virtual reality research,Sequential research,Simultaneous research,Starch testing,1
"With repect to developing new products, if a company chooses to introduce its new products city-by-city and religion-by-religion, then the company is probably using which of the follwoing methods for launching new products?",blitz,blanket,market rollout,market blister,3
"If Toyota describes one of its cars of the future as being ""a moderately priced subcompact designed as a second family car to be used around town; the car is ideal for running errands and visiting friends,"" then the company has just stated a potential new product in terms of which of the following?",a product idea,a product image,a product concept,a product feature,3
"When a company reviews sales, costs, and profit projections for a new product to find out whether these factors satisfy the company's objectives, they are in which of the following new-product development stages?",concept development and testing,commercialization,business analysis,marketing strategy development,3
"Under what situation, PESTLE becomes more suitable and common?",for small projects,for  larger and more complex the business projects,for planning the project,for complex process,2
Which Maintenance strategy can be effective If the maintenance cost or downtime cost of equipment is too costly?,Engineering services,Shutdown improvement,Design-out,Remedial,3
 Which approach involves purchasing and storing enough obsolete items to meet the system’s forecasted lifetime requirements?,Risk Mitigation Buy,Risk Preventive Buy,Risk Control Buy,Risk Minimize Buy,1
"If an organization wishes to create an innovation-oriented company culture, it should consider which among the following approach?",product planning approach,venture capital team,idea manager,delphi idea system,3
Which among the following is one reason that idea screening is a critical stage in the new-product development process?,product development costs rise greatly in later stages and the company only wants those products that can succeed,competitors can quickly steal ideas so the company wants only those ideas that can be protected with patents,international competition and markets demand that all ideas be culturally sensitive,the federal government carefully monitors each company's idea screening process to make sure no national security matters are at stake,1
What is the first decision that must be reached by the company that is introducing a new product?,Where to introduce,The distribution process,The timing of the introduction,The number of outlets to be included in the rollout,3
Consider the Colgate-Palmolive pick certain countries for new-product introductions before general introduction to entire regions or continents. This scenario shows that colgate-palmolive has adopted which among the following strategies?,gray market,primo country,demand-based,lead-country,4
"Consider in a new-product development, the overlapping of steps are done to save time and increase effectiveness across the various departments involved. This kind of Product development falls under which among the following categoy?",sequential product development,retrograde product development,Simultaneous product development,reactive product development,1
"In the maturity phase of the PLC, a marketing manager should consider which among the following?",dropping the product and moving on to the next product winner,"modifying the market, product and marketing mix",expanding R & D,pricing to penetrate the market,2
"If two or more companies join together at one level to seek new marketing opportunity, then the marketing system falls under which category?",horizontal marketing system,vertical marketing system,static marketing system,flexible marketing system,1
Consider that the set of organizations are interdependent on each other to help in making market offerings available to customer. This scenario well suits for which among the following?,interactive channels,marketing channels,pricing channels,base point channels,2
"Which among the following describes the method of managing promotion budget by defining objectives, determining tasks to achieve objectives and estimating costs for activities ",percentage of sales method,affordable method,competitive parity method,objective and task method,4
In which among the following promotion strategy the producers promotes goods to final customers by using sales force?,rational selling strategy,push strategy,pull strategy,moral selling strategy,2
"MnM's prepares special ads and packaging of chocolate candies for Christmas, Easter and Halloween. This is an example of which among the following?",geographic segmentation,income segmentation,psychographic segmentation,occasion segmentation,4
"The way of personal communication between friends, family, neighbors and target buyers about particular market offering is called_____",print and broadcast media,word-of-mouth influence,buzz marketing,display and online media,2
