Question,A,B,C,D,Answer
Respect for the National Flag and National Anthem is,Fundamental Right of every citizen,Fundamental Duty of every citizen,Directive Principle of State policy,ordinary duty of every citizen,2
The President of India is ,Appointed by the Prime Minister ,Elected by the Parliament ,Elected by the Parliament ,"Elected by an electoral college consisting of Members of Parliament and State       legislatures.
",4
The resolution for removing the Vice-President of India can be moved in the:,Lok Sabha alone,Either House of Parliament,Joint Sitting of Parliament,Rajya Sabha alone,4
Emergency can be proclaimed:,in whole of the country,only in that part of country where actual aggression has taken place, in any part of the country,in the entire country or any part of territory of India,4
The minimum age required to become the Prime Minister of India is :,25 years,30 years,40 years,35 years,1
The portfolios are allocated to the ministers by:,The President,The Prime Minister,Collective decision of the Council of Ministers,Individual choice,1
Minimum age required to contest for Presidentship is,30 years,35 years,23 years,21 years,2
The salary and perquisites of the Prime Minister of India are decided by:,Constitution,Cabinet,Parliament,President,3
The candidate for Vice-Presidential election must possess the qualifications prescribed for the Presidential candidate except:,A citizen of India,Over 35 years of age,Holding no office of profit under the Government,Qualified to be a member of the Rajya Sabha,4
Which of the Chief Justices of India has acted as President of India?,M. Hidayatullah,P. Gajendra Gadkar,P.N. Bhagwati,Sharad Arvind Bobde,1
The Union Council of Ministers consists of,Prime Minister,"Cabinet Ministers, Ministers of State and Deputy Ministers",Cabinet Ministers and Chief Ministers of the States,Cabinet Minister,2
Which is the difference between the Parliamentary and Presidential system of government?,Power of Judicial review,Method of election of President/Head of the State,Legislative supremacy in law making,Relation between the legislature and the executive,2
A Minister in Union is individually responsible to,The President,The House of the people,The Prime Minister,The House of which they are members,1
Who administers the oath of office to the President?,Chief Justice of India,Speaker of Lok Sabha,Prime Minister,Vice-President,1
The proclamation of emergency at the first instance can be restricted to:,3 months,15 days,6 months,60 days,3
The five year term of the President is calculated from the,First day of the month he assumes charge,First day of the month following the month he assumes charge,The day he assumes charge,Date of his election result,3
The Chief Minister of a State in India is not eligible to vote in the Presidential election if:,He himself is a candidates,He is a member of the Upper House of the State Legislature,He is yet to prove his majority on the floor of the Lower House of the State Legislature,He is a caretaker Chief Minister,2
On the basis of financial crisis Emergency has been declared by the President of India,Not even once,In 1962,In 1971,In 1991,1
Who was the member of the Rajya Sabha when first appointed as the Prime Minister of India ?,Lal Bahadur Shastri,Indira Gandhi,Morarji Desai,Charan Singh,2
Which characteristic is not related to the Presidential System?,Governance of the Prime Minister,Single Executive,Single Membership,Dissolution of lower house is banned,1
The Chief - Minister of a Union Territory is appointed by,The Lt. Governor,The majority party in the legislature,The President,The Prime Minister,1
"The High Courts at Calcutta, Madras and Bombay, were established under the Indian High Courts Act of",1909,1909,1861,1865,3
Appointment of officers and servants of a High Court is made by the,Chief Justice of the High Court,President,Governor,Prime Minister,1
The Constitution gives the powers of superintendence over all sub-ordinate courts to the High Courts under the Article,229,228,227,226,3
The State Council is responsible to ,To the Governor,To the Legislative Assembly,To the Legislative Council,To the State Legislature,2
President's rule can be imposed on a state for a maximum period of,1 year,5 years,2 years,4 years,1
The Chairman of the Planning Commission in India is the,President,Prime Minister,Minister of Planning,Finance Minister,2
Which of the characteristics is not related to the federal government?,Written Constitution,Flexible Constitution,Supremacy of the Constitution,Independent Judiciary ,2
The High Court tht covers more than one State/ Union Territories,Allahabad,Guwahati,Delhi,Chhattisgarh,2
The First Class Magistrates are competent to award sentence of imprisonment upto,4 years,2 years,1 year,3 years,1
The Central Government's exclusive powers are enumerated in the,Concurrent List,Federal List,State List,Union List,4
Tax levied by the State Government,Entertainment Tax,Corporation Tax,Wealth Tax,Income Tax,1
The residuary powers is,Powers shared between the Union and State Governments,Powers related to country's external affairs,Powers related to country's internal affairs,Powers not included in any of the three Lists,4
The Zonal Councils discusses matters relating to,Inter - State transport,Economic and Social Planning,Border disputes,"Inter - State transport, Economic and Social Planning, Border disputes",4
Education was transferred to the Concurrent List by, 52nd amendments ,42nd amendments ,24th amendments ,44t hamendments ,2
Who is the ex- officio Chairman of the Council of States?,Vice- President,Leader of the opposition,President,Speaker,1
Under which Article of the Constitution is the President's rule promulgated on any state in India,326,370,380,356,4
The Inter State Council is set up under,Art 352,Art 263,Art 283,Art 292,2
Which subject is included in the Union List?,Agriculture,Extradition,Gas and gas- works,Marriage and divorce,2
Grants-in-aid of revenue to the states is recommended by ,National Development Council,Finance Commission,Inter - State Council,Planning Commission,2
The Federal System in India is based on the model of ,Canada,UK,America,Japan,1
The Indian Constitution is regarded as ………………….,federal,unitary,parliament,federal in form and unitary in spirit,4
Which comes under the Central Government?,Banking,Agriculture,Prison,Public health,1
Which is not matched correctly?,Union List: Insurance,State list: Agriculture,Concurrent list: Communication,Both A and B,3
"In which Part of the Indian constitution, Central-State relations are mentione",Part XI,Part X,Part IV,Part XII,1
The characteristic that is not related to Parliamentary Government,Resolution of lower house,Collective liability,Leadership of the Prime Minister,Single Executive,4
What is the minimum age to hold office in the Lok Sabha?, 18 Years, 21 years, 25 Years, 30 years,3
Who decides whether a bill is a Money Bill or not?, President, Prime Minister, Speaker of the Lok Sabha, Finance Minister,3
Indian Parliamentary System is based on , Westminster model, Welfare State model, Both A & B, Neither A nor B,1
Which article of the Indian Constitution deals with the constitution of the Parliament of India?, Article 73, Article 78, Article 79, Article 72,3
Which article of Indian constitution envisages that there shall be an Attorney General of India?,Article 78,Article 76,Article 67,Article 113,2
Which Article of the Indian Constitution says that there shall be a President of India?,61,62,52,74,3
In which situation a President can establish Inter-State Council,during an emergency ,when a council of ministers recommends him/her to do so,when parliament passes a law,when it appears to him/her that it would be serving the public interest,4
Which schedule of the Indian Constitution divides the legislative powers between the Union and states?,6th schedule,7th schedule,8th schedule,9th schedule,2
The Government of India had set up the Sarkaria Commission on Centre-State relations on,1981,1982,1983,1984,3
 NATIONAL EMERGENCY is mentioned in,Article 356,Article 352,Article 360,Article 365,2
Impeachment of the PRESIDENT can be initiated in,Only in Lok Sabha,Only in Rajya Sabha,In either house of Parliament,Supreme Court,3
The amendment that reduced the voting rights from 21 years to 18 years, 54th,36th,62th,61st,4
Who is the Prime  Minister of Canada?,Félix Tshisekedi,Justin Trudeau,Carlos Alvarado Quesada,Andrej Plenković,2
Who is the Prime Minister of United Kingdom?,Donald Trump,Boris Johnson,Bob Loughman,George Weah,2
"What is the relationship between war, military security, and security studies?", War is best regarded as a rational instrument of political policy; it is a continuation of politics by other means.," War is best regarded as a social aberration, and is the result of catastrophic failure in social cohesion.", War is an anarchic state in which state or other actors must draw upon exceptional military) means in order to ensure the protection of their interests., War is a state of mass conflict which is inflicted upon state actors as a result of their failure to effectively control the behaviour of their population.,1
What are some nuclear motivations?,"Power, security, and advancement of the environment.","Prosperity, survival, and economic leverage.","Strategic deterrence, political, and prestige benefits.",All of the options given are correct.,3
Where was the first Nuclear Weapon-Free Zone applied?,Africa,Antarctica,Latin America,South East Asia,3
What is meant by 'Atoms for Peace'?,It is an international NGO that seeks to ban atomic testing.,It is the slogan of the IAE,The title of an Eisenhower speech which culminated in the creation of the IAE,All of the options given are correct.,4
Earnest international efforts to promote nuclear non-proliferation began ,after World War II,after World War I,after US WAR I,After German War I,1
Which is the only nation that has been able to completely disarm its entire nuclear weapons stockpile?, South Africa, The United States, Russia, North Korea,1
Which political issues does not fall under Public International Law?, A country claiming to own the moon, A disputed national election, Mining on the seabed of an ocean outside of territorial waters., A policeman torturing a criminal suspect in a country where this is not considered illegal,2
What is the field of Security Studies concerned with?, Security Studies is concerned with matters relating to peace and security, It considers the security of states as well as that of individuals, The field considers the damage humans are doing to the environment, All of the options,4
The term “weapons of mass destruction” WM includes ,Nuclear  weapons,Chemical weapons,Biologocal weapon,All the above,4
The name of the line between India and China border, Redcliff Line, Durand Line, Mcmohan Line, Silent line,3
Wagah Border exists between, India and Pakistan, India and China, India and Afghanistan, India and Nepal,1
"Constitutional Government is
1. Places effective restrictions on individual liberty in the interest of State Authority
2. Places effective restrictions on the Authority of the State in the interest of individual liberty
",1 only,2 only,Both 1 and 2,Neither 1 nor 2,2
"After the creation of Constituent Assembly of Pakistan in 1947, the membership of Constituent Assembly of India was reduced to 299 from 389 earlier. What was the total number of members from the provinces in the Constituent Assembly?",229,70,292,93,1
"The philosophy underlying the Indian constitution was embodied quite early in the Objective Resolution, which was moved in the first session of the Constituent Assembly (on 13 December 1946) by:",Chakravarti Rajagopalachari,Sardar Vallabhbhai Patel,Pandit Jawaharlal Nehru,Dr. Bhimrao Ramji Ambedkar,3
"The Objective Resolution was unanimously adopted by the Constituent Assembly on 22nd January 1947, had the following provisions:                                                                                           I. Adequate safeguards shall be provided for minorities, backward and tribal areas, and   depressed and other backward classes.
 II. All power and authority of the Sovereign Independent India, its constituent parts and organs of government, are derived from the people.
",I only,II only,Both I and II,Neither I nor II,3
Which statement regarding the acquisition of Indian citizenship is correct?,"If born in India, only that person can acquire citizenship at least one of whose parents is an Indian.",If citizenship is to be acquired by naturalisation the person concerned must have resided in India for 5 years.,"If citizenship is to be acquired by registration, six months residence in India is essential.",Rules regarding the citizenship of India shall not be applicable to Jammu and Kashmir.,1
"In India the right to “freedom of speech and expression” is restricted on the grounds of
1. the sovereignty and integrity of India.
2. contempt of court.
3. friendly relation with foreign states.
4. protection of minorities.
","1, 2 and 3","2, 3 and 4",1 and 3,"1, 2 and 4",1
"1. A person who was born on 26th January, 1951 in Rangoon, whose father was a citizen of  India by birth at the time of his birth is deemed to be an Indian citizen by descent.
2. A person who was born on 1st•July, 1988 in Itanagar, whose mother is a citizen of India at the time of his birth but the father was not, is deemed to be a citizen of India by birth. Which of the statements given above is/are correct?
",I only,II only,Both I and II,Neither I nor II,3
"Article 26 of the Constitution of India states that subject to public order, morality and health, every religious denomination or any section thereof shall have the right
1. to establish and maintain institutions for religious and charitable purposes.
2. to manage its own affairs in matters of religion.
3. to own and acquire movable and immovable property.  
",1 only,2 and 3,1 and 3,"1, 2 and 3",4
Which statement regarding the constitutionally guaranteed Right to Education in India is correct?  ,This right covers both child and adult illiteracy and’ therefore universally guarantees education to all citizens of India,This right is a child right covering the age group of 6 to 14 years and becomes operational from the year 2015,This right has been taken from the British Constitution which was the first Welfare State in the world,This right has been given to all Indian children between the ages of 6 to 14 Years under the 86th Constitutional Amendment Act,4
"According to Article 23, which is prohibited","Traffic in human beings, beggary, slavery and bonded labour",Monopoly of trade,Sale of incenses,Visit to terrorist infected areas,1
Fundamental duties enacted in Part IV A of the Constitution are:,enforceable duties and Parliament can impose penalties or punishments for the non-compliance,Like Directive Principles that: are mandates to people,Like Fundamental Rights that are enforceable,No more than meant to create psychological consciousness among the citizens and of education value,4
The Fundamental Duties were added to constitution because,Majority of the people wanted it. ,A section of people was not fulfilling its obligation of respecting the established legal order. ,The government felt this would ensure quicker progress of the country ,The Supreme Court emphasised the need of incorporation of these duties in the Constitution.,2
"Special provisions for the Scheduled Tribes in India. 
 1. Reservation of seats in LokSabha and State Legislative Assemblies.
 2. Central Government to give special grants for welfare.
 3. Reservation of seats in public services and in employment 
 4. Reservation of seats in educational institutions.
","1, 2 and 3 ","1, 3 and 4 ","2, 3 and 4 ","1, 2, 3 and 4 ",4
"Arrange the writs in the correct sequence as given tin the Indian Constitution:
 i. Certiorari 
 ii. Habeas Corpus
 iii. QuoWarranto
 iv. Prohibition
 v. Mandamus 
","i, iii, v, ii, iv ","ii, iv, iii, i, v ","ii, v, iv, i, iii","iii, i, ii, iv, v ",3
Which statement is correct ?,The President may continue to be a member of Parliament even after assuming charge of the Presidential office,"The President is not barred from holding any other office of profit even after assuming
charge of Presidential office
",The President is entitled to use his official residence only on payment of rent fixed,The emolument and allowances of the President shall not be diminished during his term of office,3
"If a resolution impeaching the President is passed, the President is considered to have been removed:
",From the date on which the resolution is passed,Once the Chief Justice of India takes out an order to the effect,as soon as the Gazette of India notifies it,Once the new incumbent is elected,1
"Which power is not enjoyed by the President of India in the
event of emergency proclaimed under Article 352 of the Constitution?
",He can suspend the enforcement of Fundamental Rights,"He is authorised to direct any State to exercise its Executive power in a particular manner
","He is authorised, during the recess of Lok Sabha, to allow expenditure from the Consolidated Fund of India pending sanction of the Parliament",He is authorised to dissolve the Rajya Sabha and Lok Sabha,4
Which of the statement regarding the election of the President is correct?,A candidate securing the majority of votes is not automatically elected,The Supreme Court has no jurisdiction in any doubt or dispute arising in connection with the election of the President,The Presidential election cannot take place when one or more State Assemblies stand dissolved because all the State Assemblies form part of the Electoral College,The total value of the votes allotted to both Houses of Parliament is much more than the total value of the votes of all the States taken together,1
The President of India is vested with ordinance making power by Article 126. He exercises the power,When Lok Sabha is not in session and circumstances .exist which render it necessary for the President to take immediate action,When Council of States is not in session and the President is satisfied that circumstances exist which render it necessary for him to take immediate action,When both Houses of Parliament are not in session and President is satisfied that circumstances exist which made it necessary for him to take the immediate action,In all the above circumstances,3
When charge against the President is preferred by either House of Parliament and is being investigated by other House,The President has a right to appear and to be represented at such investigation,The President has no right to appear and to be represented at such investigation,The President has a right of representation but he does not have a right of personal hearing,The President has a right to appear and to be represented either personally or through a legal practitioner,4
Which statement is most appropriate?,The President shall be bound by the advice of the Prime Minister,The President shall be bound by the advice given by the Council of Ministers,The President shall act on the advice of the Prime Minister who shall tender such advice in consultation with his cabinet,The President shall act in accordance with the advice of the Council of Ministers and he may return such advice for reconsideration,2
Which feature of the Constitution of India is indicative of the fact that the real executive power is vested in the Council of Ministers headed by the Prime Minister?,Federalism,Representative Legislature,Universal Adult Franchise,Parliamentary Democracy,2
The Speaker of Lok Sabha can be removed by a resolution passed by:,A majority of all the then members of Lok Sabha,A majority of the then members of both Lok Sabha and Rajya Sabha,two-thirds majority of the total members of the Lok Sabha,two-thirds majority of the Lok Sabha members present and voting,1
"When Parliament is not in session, the President can promulgate an ordinance which is to be ratified by the Parliament within",6 weeks from the reassembly of Parliament,6 months from the reassembly of the Parliament,6 weeks from the date of issue of ordinance,3 months from the date of issue of the ordinance,1
"If the President returns a Bill sent to him for his assent and the Parliament once again passes the Bill in its original form, then the President",Can seek the opinion of the Supreme Court on the bill,Gives assent to the bill,Can once again return the bill for further reconsideration,Can ask for a referendum on the bill,2
What is contained in the tenth schedule of the constitution?,Languages recognised by constitution,Forms of oath or affirmation,Laws that cannot be challenged in any court of law,Provision regarding disqualification on grounds of defection,4
"For Election to the lok sabha, a nomination paper can be field by",Any citizen of India,Any citizen of India whose name appears in the electoral roll of a Constituency,Anyone residing in India,A resident of the Constituency from which the election to be contested,2
"In India, the first general election held in ",1950-51,1948-49,1951-52,1947-48,4
Which featurs does not belong to a federal government ?,Both Central and State Governments have co-ordinate status.,Both Central and State Governments derive powers from the Constitution.,"The government has two distinct levels, State Government and Central Government.",State Governments are agents of the Central Government.,1
Tthe parliamentary system of government in India operates,Nominal and real executives,Executive responsible to lower house,Prime Minister is the real executive,All of the above,4
"Due to which reason, the founding fathers preferred the British parliamentary system",Familiarity with system.,More responsibility.,Separation of power.,Heterogeneous Indian Society.,1
The unitary feature of the Indian constitution is,Bicameralism.,Appointment of Governor.,Integrated judiciary.,Suspensive Veto Over State Bills.,3
The federal principles are not found in Indian federation is,Bifurcation of the judiciary between the Federal and State Governments,Equality of representation of the states in the upper house of the Federal Legislature,The Union cannot be destroyed by any state seceding from the Union at its will,Federal Government can redraw the map of the Indian Union by forming new States,3
"The Article 73 of the Constitution of India deals with the extent of executive power of the Union, it provides:                                      1.The executive power of the Union extends to all matters with respect to which the Parliament has the power to make laws.                                                                              2.The Government of India may also exercise such authority available under any treaty. which of the statements given above is/are correct?",only 1,only 2,both 1 and 2,neither 1 nor 2,3
"Which of the taxes is/are levied, collected and keet by the State Government?                                                                                 1.Land Taxes                                                                     2.Octroi tax                                                                                3.Agricultural income tax",Only 1,"Only 2,3","Only 1,2","Only 1,2,3",4
Which is matched correctly? ,Finance Commission: Article 256. ,Money borrowed by the central government: Article 262,Power to delegate the work to the Federation of States: Article 278.,Grant by the Union to States: Article 275.,4
"Constitutional Amendment Act, Goa made a full fledged State with a State assembly","43rd Constitutional Amendment Act, 1977. ","44th Constitutional Amendment Act, 1978.    ","56th Constitutional Amendment Act, 1987.    ","57th Constitutional Amendment Act, 1987",3
"The Constitutional Amendment Act, provided reservation in admissions in private unaided educational institutions for students belonging to scheduled castes/tribes and other backward classes is","93rd Constitutional Amendment Act, 2005","92nd Constitutional Amendment Act, 2003","94th Constitutional Amendment Act, 2006","95th Constitutional Amendment Act, 2009",1
The amendment Act that made the right to education as the fundamental right to all the children under the age of 6-14 years by inserting Article 21A to the constitution is,"87th amendment, 2003","86th amendment, 2002","88th Amendment, 2003","89th Amendment, 2003",2
Which statement is wrong? ,Elected and nominated members of the State Legislative Assembly participate in the presidential election.," The Union Executive includes the President, Vice President, Prime Minister, Attorney General of India.",Impeachment may be initiated against the President for 'breach of constitution'., Article 56 envisages the tenure of the President,1
Which is the characteristic climate of the Tropical Savannah Region?,Rainfall throughout the year,Rainfall in winter only,An extremely short dry season,A definite dry and wet season,4
An artificial satellite orbiting around the Earth does not fall down. This is so because the attraction of Earth ,does not exist at such distance,is neutralized by the attraction of the moon,provides the necessary speed for its steady motion,provides the necessary acceleration for its motion,4
" With respect to Non-Proliferation of Nuclear Weapons (NPT) Treaty:                                                                        1. It was brought in 1974, in response to the Indian nuclear test:                                                                                                2. All the five permanent members of the United Nations Security Council are among its members.“Smiling Buddha”.                                                                                         3. India, Pakistan and Israel are the only nuclear countries that are non signatories to this agreement.  ",2 only,1 and 2 only,2 and 3 only,none,3
There are many categories that seek to define the concept of security,Because there are numerous theories of Security Studies and theorists disagree with each other over definitions,It is multidimensional in nature and therefore defies easy definition,Security is an essentially contestable concept,All of the options,4
Which force takes care of the land border of India against China?,Border Security Force ,Sashastra Seema Bal,Indo-Tibetan Border Police and Special Frontier Force,Central Reserve Police Force,3
